x,y
5.933769226074218750e+00,-5.417221069335937500e+00
7.643056392669677734e+00,-1.003722667694091797e+00
7.157247066497802734e+00,-2.174202203750610352e+00
7.125284671783447266e+00,-2.006880044937133789e+00
6.303276062011718750e+00,-2.937301397323608398e+00
7.405314445495605469e+00,-2.673367023468017578e+00
5.795156478881835938e+00,-4.634147644042968750e+00
5.676446914672851562e+00,-4.773735523223876953e+00
5.733469009399414062e+00,-4.632633686065673828e+00
6.195950984954833984e+00,-4.152069091796875000e+00
8.755378723144531250e+00,-2.190169334411621094e+00
6.033244132995605469e+00,-5.007429122924804688e+00
1.213600349426269531e+01,-1.526262760162353516e+00
5.912221908569335938e+00,-5.398556232452392578e+00
